Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type of Membership,Level of Membership,Community Logo,Digital Campaign Report (Operator Access Platinum Only),Digital Campaign Report URL (Operator Access Platinum Only)
Brookstone Estates of Robinson,brookstone-estates-of-robinson,64107c2302e99de2b6724a6c,64107c2302e99d64d8725ac9,Thu Oct 06 2022 19:08:14 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 19:08:14 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d146f7258b2_Brookstone%20Estates.png,,
Brookstone Estates of Vandalia,brookstone-estates-of-vandalia,64107c2302e99de2b6724a6c,64107c2302e99d714e725aca,Thu Oct 06 2022 19:09:13 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2022 19:09:13 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d146f7258b2_Brookstone%20Estates.png,,
Caregivers Inn ,caregivers-inn,64107c2302e99de2b6724a6c,64107c2302e99d428d725b23,Thu Nov 17 2022 16:21:18 GMT+0000 (Coordinated Universal Time),Thu Nov 17 2022 16:21:18 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99daf34725be9_Caregivers%20Inn%20Logo.png,,
Caretel Inns of Brighton,caretel-inns-of-brighton,64107c2302e99de2b6724a6c,64107c2302e99d3633725b08,Thu Oct 27 2022 17:10:59 GMT+0000 (Coordinated Universal Time),Thu Oct 27 2022 17:10:59 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99df72b725bed_Caretel_Brighton.png,,
Cariad at North Brook ,cariad-at-north-brook,64107c2302e99de2b6724a6c,64107c2302e99d80db7256c3,Fri Jul 29 2022 19:24:57 GMT+0000 (Coordinated Universal Time),Fri Jul 29 2022 19:24:57 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99d3033724f71_cariad.png,,
Carnegie Village Senior Living ,carnegie-village-senior-living,64107c2302e99de2b6724a6c,64107c2302e99df5e6725b35,Fri Nov 18 2022 15:50:14 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 15:50:14 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99dd037725c04_Carnegie-Village-logo.png,,
Carriage Crossing at Rochester,carriage-crossing-at-rochester,64107c2302e99de2b6724a6c,64107c2302e99d5867725b02,Fri Nov 04 2022 15:22:38 GMT+0000 (Coordinated Universal Time),Fri Nov 04 2022 15:22:38 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6358214839d6a23a917e8ab3_Carriage%20Crossing%20Logo.jpg,,
Carriage Crossing at Wilmington,carriage-crossing-at-wilmington,64107c2302e99de2b6724a6c,64107c2302e99d3f70725b00,Fri Nov 04 2022 14:48:29 GMT+0000 (Coordinated Universal Time),Fri Nov 04 2022 14:48:29 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6358214839d6a23a917e8ab3_Carriage%20Crossing%20Logo.jpg,,
Carriage Crossing Bloomington,carriage-crossing-bloomington,64107c2302e99de2b6724a6c,64107c2302e99d48d0725b18,Fri Nov 18 2022 01:43:59 GMT+0000 (Coordinated Universal Time),Fri Nov 18 2022 01:43:59 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/64107c2302e99d5fb5724a6b/64107c2302e99de4c5725bd4_Carriage%20Crossing%20Logo%20(1).jpg,,
Carriage Crossing Decatur,carriage-crossing-decatur,64107c2302e99de2b6724a6c,64107c2302e99da550725b03,Tue Oct 25 2022 17:47:53 GMT+0000 (Coordinated Universal Time),Tue Oct 25 2022 17:47:53 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 19:16:46 GMT+0000 (Coordinated Universal Time),Community Access,Gold,https://uploads-ssl.webflow.com/61d2e3c9499f212051abd992/6358214839d6a23a917e8ab3_Carriage%20Crossing%20Logo.jpg,,
